prediction_ts,age,gender,context,text,label
1650092400.0,52,male,movies,"You know you're watching softcore with the wrong attitude when the poor dubbing bothers you. I'm okay with the crappy lip syncing but the sound mix is really of too. Every time someone says anything it sounds like there's a narrator. Either way, this is pretty much the purgatory between boring French professionalism and the heavenly campy Joe D'Amato flicks involving cannibalism and whatnot. Don't get me wrong, there's a fair dose of exploitation in this one, but there's always room for more. Laura Gemser stars, and that's good because she's hot. It's a bit freaky how at times you can see her bone structure, but she still rules over her white counterpart. You can also make a cool drinking game of how often she takes her kit of. Often. Every reason is good. Every person is good. Every location is good. One scene even involves an entire hockey team, whatever they are doing in Africa. Sometimes the plot gets in the way, and the supporting cast consists of some really vile looking people, but there's enough Laura Gemser for all.",positive
1650092888.135593,34,male,movies,"I had seen this film many years ago and it had made a lasting impression on me. Alas, I have hardened to many films over the years and did not expect to be impressed by 'Kalifornia' upon watching again recently. I am pleased to say that it is every bit as unnerving and watchable as it was ten or so years ago.<br /><br />There are two things which really give this movie its power. The first is its cast. We have a staggeringly disturbing turn by a young Brad Pitt as Early Grace. Knowing Pitt, as we all do, as one of the most enduring heart-throbs Hollywood has ever had, it is refreshing to see him play such a vile, unattractive character. Pitt pulls the show off without resorting to white-trash cliché or parody, and manages to remain genuinely terrifying throughout the movie.<br /><br />Juliette Lewis is equally impressive as Grace's tragic girlfriend, playing the character like a ten year old girl with a forty year old's life experience. Lewis manages to evoke pity (for her character's station in life) as well as contempt (for her naivety), but she underpins her performance with the kind of subtlety rarely seen by an actor so young. Personally, I think it's a tragedy that neither Pitt nor Lewis were nominated for any awards for their performances here.<br /><br />David Duchovony and Michelle Forbes are both perfectly cast as the yuppy couple who unwittingly end up travelling across the US with Pitt and Lewis. Duchovony is aptly geeky and naive, and Forbes seems emphatically cynical and shut-off, but both actors manage to convincingly portray their characters' changes as they are equally intrigued, repulsed and strangely attracted to Pitt.<br /><br />The fine casting and uniformly brilliant acting aside, this film really grabs us by the proverbial balls through its flawless pacing. At the time 'Kalifornia' was released, Hollywood was releasing a slew of nice-character-turns-out-to-be-psychotic movies ('Single White Female', 'Pacific Heights', 'The Hand That Rocks The Cradle', 'Deceived', 'Sleeping With The Enemy' etc). Most of these movies followed the same formula, the only variation being the nature of the relationship between good guy and bad guy. 'Kalifornia' doesn't really stray too far from this territory, but its first two acts are the perfect example of the slow-boil thriller, and we are kept on the very edge of our seats waiting for the tide to turn.<br /><br />When the penny does drop, and Pitt is let loose to play the maniacal bad guy, the film shifts gears completely and the last twenty minutes don't quite live up to rest of the movie. That said, the action is thick and fast and the resolution is suitable cold. The fight is over, but the scars will always be there.<br /><br />Much of the narration (provided by a somewhat whiny, pre X-files Duchovony) is a tad contrived. Of course, it's meant to be from the book the Duchovony's journalist character has written, so one could argue that the self-conscious narration is meant to be a nod to the kind of sensationalised style in which most journalists write.<br /><br />The film is largely a success and is certainly a cut above 90% of the thrillers of the past twenty years. Highly recommended, but not for the weak of stomach or mind. This film is disturbing on more than one level. But then, it's meant to be.",positive
1650093376.271186,51,male,movies,"This cartoon was strange, but the story actually had a little more depth and emotion to it than other cartoon movies. We have a girl at a camp with low self esteem and hardly any other friends, except a brother and sister who are just a miserable as she is. She reaches the ultimate low point and when the opportunity arises she literally makes a pact with a devil-like demon. I found this film to be very true to life and just when things couldn't be worse, the girl sees what she's done, she feels remorse and then changes and then she helps this dark, mystical creature learn the human quality of love. The twins improve too, by helping the little bears and then they get a sense of self worth too. A very positive message for children, though some elements of the film was strange, it was and still is a rather enjoyable film. The music from Stephen Bishop (Tootsie songs) made the film even better",positive
1650093864.406779,37,female,movies,"Years ago, I didn't love and respect the films of Jimmy Cagney nearly as much as I do now. I noticed that many of Cagney's films done with Warner Brothers in the 1930s lacked realism and his acting style was far from subtle. However, the more I watched these films, the more I found I was hooked despite these aspects. In fact, I now kind of like and expect them! Fans of old time Hollywood films probably understand what I am saying--teens and other young whippersnappers don't! Well, when it comes to entertainment, THE MAYOR OF HELL never lets up from start to finish. While the idea of a shady character like Cagney played taking over running a reform school is ridiculous, and while all the changes he made also seemed far-fetched, it all somehow worked out and delivered solid entertainment.<br /><br />The gang of tough thugs were pre-Dead End Kids and instead of the likes of Leo Gorcey, Huntz Hall and Billy Hallop, similar roles are played here by Frankie Darrow and Farina. Yes, I did say Farina. This Black actor was already famous for his roles in the Our Gang comedies and was, believe it or not, one of the highest paid child actors in Hollywood. All he needed to give up in return was be named an insipid name and act like a nice stereotypical Negro. Here, he actually was pretty good and the usual Black stereotypes are a bit more subdued than usual. However, some will cringe at the very funny but horribly offensive court scene involving Farina and his dad, Fred 'Snowflake' Toones. With awful names like Farina and Snowflake, don't say I didn't warn you.<br /><br />Apart from this small complaint and a plot that is tough to believe, the film is exceptional and fun. The kids do a great job, as does Cagney and Dudley Digges in a truly despicable but exciting role as the evil warden. Also, as an added plus, you get to see perennial Warner stock actor Allen Jenkins in his first role for the studio.",positive
1650094352.542372,55,female,movies,"This is not a good movie. It's disjointed, all the acting is bad, and has a lame story you've seen a thousand times done much better else where. Not to mention you can see every plot point coming from a mile away. Worst of all, no one bothered to tell Lonette Mckee she can't sing. But who cares, she's sooooo damn good looking. But I digress, nothing new here. Bottom-line, hot girl group gets taken advantage of, some one gets hooked on drugs, someone gets hooked on a guy, some one gets the hell out, and then the horrible stuff happens. Surprise, surprise. Welcome to the music business. I can't believe so many people out there think this is a good movie. So many of you seem to want to use a sliding scale when it comes to grading Black Movies. I don't play that! If you want to support these films by going to see them - great! If you enjoyed it - super! To each his own. But don't try to tell me it was good. Pleeeease! I wish colored folks would not fawn over these kind of movies just because they feature black actors. Wanna see a good African-American movie? See Love Jones. Ray. Or The Color Purple. Those would be great movies no matter what the color of the actors skin. Why? Because they told compelling stories with great acting, that made you feel something long after you left the theater. Just because it's our experience does not automatically make it a good film. It's only good -- when it's good. Period.",negative
1650094840.677966,43,male,movies,"If you want to watch something that is for 'him' and 'her' so to say then this is the film to pick. I am a sucker for rom coms but my husband is not always so keen (what a guy!!!). Anyway I managed to get him to watch it because I told him it was about sport, and you know what, he loved it!!!<br /><br />Drew Barrymore is very funny and her leading man (sorry but can't remember his name) is equally as good. When I watched the film it was called 'The Perfect Match' but I think the title was changed for the UK as it is based on the book Fever Pitch and there was already a film made about football with that title (the same film but the UK version - phew!),<br /><br />Anyway all of the reviews on here will tell you more details if you need them buy girls, take it from me, get your hubby/boyfriend in front of the television on a Saturday night and you will both laugh and cry together. A real gem.",positive
1650095328.813559,49,female,movies,"As is nearly always the case, when Britain comes up with an entertaining and/or successful sit-com or quiz show, the Yanks will come along and poach the format and produce their own, grossly inferior, version. Man About The House is, of course, no exception to that rule. The Yanks' version ( Three's Company ) was unwatchable, braindead pap that seem to run forever. A prime example of quantity over ( non-existent ) quality. The original, on the other hand, is a fondly-remembered gem that had the savvy ( like Fawlty Towers ) to pull the plug at precisely the right time ( unlike the 637 episodes of 'hilarity' that Three's Company came up with ). Jo was cute, there was brilliant chemistry between the Ropers, Richard O'Sullivan made it all look so easy, the scripts, whilst not exactly Oscar Wilde-standard, were consistently funny and Chrissy was THE most drop-dead gorgeous woman who has walked the face of this planet since The Dead Sea was merely feeling unwell. 'Nuff said.",positive
1650095816.949152,26,female,movies,"In THE FAN Robert De Niro plays Gil Renard . Or is it Travis Bickle ? or Rupert Pupkin ? Or Max Cady ? You see the problem with this type of role is that De Niro has played very very similar characters in TAXI DRIVER , THE KING OF COMEDY and CAPE FEAR and unfortunately the characters were better developed and had better scripts . I found it slightly difficult to believe that Renard would have started out as a frustrated obsessive sports fan into being an out and out psycho<br /><br />The character arc isn't the only problem with this script - It also lacks a character focus ( A problem I had with THE UNTOUCHABLES where De Niro should have been superb but ended up slightly flat ) , for several stretches of the movie I kept thinking that Bobby Rayburn was the main character then the story switches back to Renard . It also seems to have disappointed a lot of sports fans who seem to think this should have concentrated a bit more on baseball . I'm not sure if this was meant to appeal to baseball fans originally but again there are elements which hint it might have if the producers had made up their minds has to who and what the story should focus upon <br /><br />I will admit I was entertained by THE FAN ( Especially by the soundtrack ) but it is a very flawed film and it should be remembered that by the mid 1990s characters being stalked by nutters as in SINGLE WHITE FEMALE , UNLAWFUL ENTRY etc had run out of steam a long time ago",negative
1650096305.084745,36,male,movies,"These are the kinds of movies I loved, and still love growing up. Unlike big budget movies that crate huge plot holes and never acknowledge them. This movie takes in all in stride and just makes something you can sit back and enjoy.<br /><br />There was some film student earlier that complained it wasn't A list material. But that is not the point. The point of this movie is that no everyone likes huge CGI Cliché' filled movies. There are a lot of people who like movies that are meant to just entertain you, and not get as much money as they can.<br /><br />Besides, its also nice to know that good ol' Bruce isn't dead yet.",positive
1650096793.220338,35,female,movies,"This romantic comedy isn't too bad. There are some funny things happening here and there, and there are some rather memorable characters in it.<br /><br />The acting, however, is amateurish (with the exception of the banker). While some scenes are great fun, others are simply embarrassing. In particular, I found the romantic part of the story poor. <br /><br />All in all, I guess it's worth seeing if you like football and romantic comedies. It's not really a bad movie, and the ending did feel quite good. Just don't expect anything out of the ordinary. Fair enough if you have an hour and a quarter to kill.",negative
